"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",218.059998,221.259995,217.429993,219.309998,33078700,215.958801,2018-10-19,"AAPL",NA,NA
"2",219.789993,223.360001,218.940002,220.649994,28792100,217.27832,2018-10-22,"AAPL",0.0061100496663713,0.00611005431681222
"3",215.830002,223.25,214.699997,222.729996,38767800,219.326538,2018-10-23,"AAPL",0.00942670212103991,0.0094267031795161
"4",222.600006,224.229996,214.539993,215.089996,40925500,211.803284,2018-10-24,"AAPL",-0.0343016128764135,-0.0343016214125016
"5",217.710007,221.380005,216.75,219.800003,29855800,216.44133,2018-10-25,"AAPL",0.0218978946520962,0.0218978431707255
"6",215.899994,220.190002,212.669998,216.300003,47258400,212.994797,2018-10-26,"AAPL",-0.015923636211254,-0.0159235666616437
"7",219.190002,219.690002,206.089996,212.240005,45935500,208.996857,2018-10-29,"AAPL",-0.0187701298637826,-0.018770217030464
"8",211.149994,215.179993,209.270004,213.300003,36660000,210.040649,2018-10-30,"AAPL",0.00499429520129091,0.00499433648241765
"9",216.880005,220.449997,216.619995,218.860001,38358900,215.515686,2018-10-31,"AAPL",0.0260665591449396,0.0260665631589325
"10",219.050003,222.360001,216.809998,222.220001,58323200,218.824341,2018-11-01,"AAPL",0.0153522699967186,0.015352279926198
"11",209.550003,213.649994,205.429993,207.479996,91328700,204.30957,2018-11-02,"AAPL",-0.0663306967299401,-0.066330685508367
"12",204.300003,204.389999,198.169998,201.589996,66163700,198.509583,2018-11-05,"AAPL",-0.0283882296849826,-0.0283882789355751
"13",201.919998,204.720001,201.690002,203.770004,31882900,200.656265,2018-11-06,"AAPL",0.0108139968235186,0.0108140683727183
"14",205.970001,210.059998,204.130005,209.949997,33424400,206.741821,2018-11-07,"AAPL",0.0303282631120438,0.0303282763836035
"15",209.979996,210.119995,206.75,208.490005,25362600,206.020493,2018-11-08,"AAPL",-0.00348902798916528,-0.00695399867045488
"16",205.550003,206.009995,202.25,204.470001,34365800,202.048096,2018-11-09,"AAPL",-0.0192815624414606,-0.0192815190349293
"17",199,199.850006,193.789993,194.169998,51135500,191.870087,2018-11-12,"AAPL",-0.0503741891237618,-0.0503741524410714
"18",191.630005,197.179993,191.449997,192.229996,46882900,189.953079,2018-11-13,"AAPL",-0.00999117699884089,-0.00999125518866206
"19",193.899994,194.479996,185.929993,186.800003,60801000,184.587402,2018-11-14,"AAPL",-0.0282473810282381,-0.0282473761275009
"20",188.389999,191.970001,186.899994,191.410004,46478800,189.142792,2018-11-15,"AAPL",0.0246787697895006,0.0246788058135095
"21",190.5,194.970001,189.460007,193.529999,36928300,191.237686,2018-11-16,"AAPL",0.0110757273795556,0.0110756750206222
"22",190,190.699997,184.990005,185.860001,41925300,183.658539,2018-11-19,"AAPL",-0.0396320785851801,-0.0396320882531498
"23",178.369995,181.470001,175.509995,176.979996,67825200,174.883713,2018-11-20,"AAPL",-0.0477779364236366,-0.0477779239869907
"24",179.729996,180.270004,176.550003,176.779999,31124200,174.686081,2018-11-21,"AAPL",-0.00113007664698883,-0.00113005426895818
"25",174.940002,176.600006,172.100006,172.289993,23624000,170.249252,2018-11-23,"AAPL",-0.0253988696443421,-0.0253988348534836
"26",174.240005,174.949997,170.259995,174.619995,44998500,172.551666,2018-11-26,"AAPL",0.0135237833526576,0.0135237221815894
"27",171.509995,174.770004,170.880005,174.240005,41387400,172.176163,2018-11-27,"AAPL",-0.00217617719205332,-0.00217609672935792
"28",176.729996,181.289993,174.929993,180.940002,46062500,178.796799,2018-11-28,"AAPL",0.0384526863919019,0.0384526905861831
"29",182.660004,182.800003,177.699997,179.550003,41770000,177.423264,2018-11-29,"AAPL",-0.00768210061747243,-0.00768209895344196
"30",180.289993,180.330002,177.029999,178.580002,39531500,176.464767,2018-11-30,"AAPL",-0.00540231860462215,-0.0054024003552926
"31",184.460007,184.940002,181.210007,184.820007,40802500,182.630859,2018-12-03,"AAPL",0.0349423406429907,0.0349423503758277
"32",180.949997,182.389999,176.270004,176.690002,41344300,174.597153,2018-12-04,"AAPL",-0.0439887653378447,-0.0439887711940191
"33",171.759995,174.779999,170.419998,174.720001,43098400,172.650482,2018-12-06,"AAPL",-0.0111495002441419,-0.0111494763580341
"34",173.490005,174.490005,168.300003,168.490005,42281600,166.494278,2018-12-07,"AAPL",-0.0356570333814649,-0.0356570281841974
"35",165,170.089996,163.330002,169.600006,62026000,167.591125,2018-12-10,"AAPL",0.00658789607171961,0.00658793380651868
"36",171.660004,171.789993,167,168.630005,47281700,166.632614,2018-12-11,"AAPL",-0.00571934223843906,-0.00571934531653262
"37",170.399994,171.919998,169.020004,169.100006,35627700,167.097046,2018-12-12,"AAPL",0.00278716146168123,0.00278717301823006
"38",170.490005,172.570007,169.550003,170.949997,31898600,168.925125,2018-12-13,"AAPL",0.0109402233238762,0.01094021841726
"39",169,169.080002,165.279999,165.479996,40703700,163.519913,2018-12-14,"AAPL",-0.0319976794452572,-0.0319976665457327
"40",165.449997,168.350006,162.729996,163.940002,44287900,161.998169,2018-12-17,"AAPL",-0.00930616933486272,-0.00930622454208907
"41",165.380005,167.529999,164.389999,166.070007,33841500,164.102936,2018-12-18,"AAPL",0.0129925357366232,0.0129925885934783
"42",166,167.449997,159.089996,160.889999,49047300,158.984299,2018-12-19,"AAPL",-0.0311916235307332,-0.031191713022569
"43",160.399994,162.110001,155.300003,156.830002,64773000,154.972397,2018-12-20,"AAPL",-0.025234579925405,-0.025234613868075
"44",156.860001,158.160004,149.630005,150.729996,95744600,148.944626,2018-12-21,"AAPL",-0.0388957718709094,-0.0388956572225256
"45",148.149994,151.550003,146.589996,146.830002,37169200,145.090836,2018-12-24,"AAPL",-0.0258739781588361,-0.0258740403602212
"46",148.300003,157.229996,146.720001,157.169998,58582500,155.30835,2018-12-26,"AAPL",0.0704214978815063,0.0704215477705978
"47",155.839996,156.770004,150.070007,156.149994,53117100,154.300446,2018-12-27,"AAPL",-0.00648969614318862,-0.00648981366023815
"48",157.5,158.520004,154.550003,156.229996,42291400,154.379486,2018-12-28,"AAPL",0.000512247385208608,0.000512340717733206
"49",158.529999,159.360001,156.479996,157.740005,35003500,155.871613,2018-12-31,"AAPL",0.00966531913443469,0.00966529500519209
"50",154.889999,158.850006,154.229996,157.919998,37039700,156.049484,2019-01-02,"AAPL",0.00114113786709846,0.00114107388293783
"51",143.979996,145.720001,142,142.190002,91312200,140.505798,2019-01-03,"AAPL",-0.0996074168370849,-0.0996073720821602
"52",144.529999,148.550003,143.800003,148.259995,58607100,146.503891,2019-01-04,"AAPL",0.0426892917258832,0.0426893094776102
"53",148.699997,148.830002,145.899994,147.929993,54777800,146.177811,2019-01-07,"AAPL",-0.00222574293265709,-0.0022258330711532
"54",149.559998,151.820007,148.520004,150.75,41025300,148.964386,2019-01-08,"AAPL",0.0190629137277203,0.0190631185928605
"55",151.289993,154.529999,149.630005,153.309998,45099100,151.494064,2019-01-09,"AAPL",0.0169817636814213,0.016981744610282
"56",152.5,153.970001,150.860001,153.800003,35780700,151.978271,2019-01-10,"AAPL",0.00319621104098178,0.00319617119817583
"57",152.880005,153.699997,151.509995,152.289993,27023200,150.48616,2019-01-11,"AAPL",-0.00981792324772524,-0.00981801021161222
"58",150.850006,151.270004,149.220001,150,32439200,148.223282,2019-01-14,"AAPL",-0.0150371170345499,-0.0150370549954651
